Episode: 1, Total reward: -247.489990234375 
Episode: 2, Total reward: -123.80000305175781 
Episode: 3, Total reward: -226.3699951171875 
Episode: 4, Total reward: -198.44998168945312 
Episode: 5, Total reward: -210.67999267578125 
Episode: 6, Total reward: -255.48004150390625 
Episode: 7, Total reward: -213.45999145507812 
Episode: 8, Total reward: -357.05999755859375 
Episode: 9, Total reward: -211.37998962402344 
Episode: 10, Total reward: -194.58998107910156 
Episode: 11, Total reward: -192.11000061035156 
Episode: 12, Total reward: -448.23004150390625 
Episode: 13, Total reward: -211.75999450683594 
Episode: 14, Total reward: -162.73997497558594 
Episode: 15, Total reward: -190.54000854492188 
Episode: 16, Total reward: -277.58001708984375 
Episode: 17, Total reward: -236.83999633789062 
Episode: 18, Total reward: -211.87997436523438 
Episode: 19, Total reward: -189.260009765625 
Episode: 20, Total reward: -246.08998107910156 
Episode: 21, Total reward: -197.99000549316406 
Episode: 22, Total reward: -269.2799987792969 
Episode: 23, Total reward: -203.1999969482422 
Episode: 24, Total reward: -247.45999145507812 
Episode: 25, Total reward: -195.21998596191406 
Episode: 26, Total reward: -195.6900177001953 
Episode: 27, Total reward: -254.47000122070312 
Episode: 28, Total reward: -312.2400207519531 
Episode: 29, Total reward: -303.6200256347656 
Episode: 30, Total reward: -212.41000366210938 
Episode: 31, Total reward: -250.0 
Episode: 32, Total reward: -317.30999755859375 
Episode: 33, Total reward: -220.67999267578125 
Episode: 34, Total reward: -248.2899932861328 
Episode: 35, Total reward: -311.1300048828125 
Episode: 36, Total reward: -188.80999755859375 
Episode: 37, Total reward: -277.66998291015625 
Episode: 38, Total reward: -272.77001953125 
Episode: 39, Total reward: -295.29998779296875 
Episode: 40, Total reward: -277.44000244140625 
Episode: 41, Total reward: -181.99002075195312 
Episode: 42, Total reward: -245.28001403808594 
Episode: 43, Total reward: -241.0 
Episode: 44, Total reward: -260.46002197265625 
Episode: 45, Total reward: -334.75 
Episode: 46, Total reward: -220.1400146484375 
Episode: 47, Total reward: -207.83999633789062 
Episode: 48, Total reward: -200.3599853515625 
Episode: 49, Total reward: -228.63999938964844 
Episode: 50, Total reward: -182.27999877929688 
Episode: 51, Total reward: -227.8699951171875 
Episode: 52, Total reward: -191.00999450683594 
Episode: 53, Total reward: -215.67001342773438 
Episode: 54, Total reward: -198.72000122070312 
Episode: 55, Total reward: -215.66000366210938 
Episode: 56, Total reward: -216.01998901367188 
Episode: 57, Total reward: -238.0 
Episode: 58, Total reward: -183.02999877929688 
Episode: 59, Total reward: -303.5699768066406 
Episode: 60, Total reward: -305.010009765625 
Episode: 61, Total reward: -211.05999755859375 
Episode: 62, Total reward: -475.1199951171875 
Episode: 63, Total reward: -141.73001098632812 
Episode: 64, Total reward: -253.5599822998047 
Episode: 65, Total reward: -184.39999389648438 
Episode: 66, Total reward: -308.0899658203125 
Episode: 67, Total reward: 4881.31005859375 
